"","image_size","row_block_size","col_block_size","processors"
"1",8192,256,128,8
"2",16384,256,128,32
"3",16384,64,16,32
"4",16384,16,8,32
"5",8192,32,32,16
"6",16384,16,64,16
"7",8192,16,256,32
"8",16384,512,128,4
"9",8192,128,512,8
"10",8192,8,4,32
"11",8192,16,32,16
"12",16384,128,256,16
"13",32768,32,64,8
"14",16384,32,256,16
"15",8192,8,8,8
"16",8192,32,64,32
"17",32768,32,8,32
"18",16384,8,128,16
"19",16384,16,8,4
"20",4096,4,32,32
"21",16384,4,64,8
"22",8192,512,512,32
"23",8192,64,8,4
"24",16384,256,4,16
"25",32768,256,256,4
"26",8192,8,16,4
"27",16384,8,512,8
"28",8192,256,8,32
"29",16384,32,8,8
"30",8192,256,8,4
"31",8192,64,16,16
"32",16384,4,512,4
"33",16384,4,64,32
"34",4096,64,16,32
"35",16384,256,64,2
"36",16384,256,32,16
"37",4096,128,64,8
"38",16384,8,16,4
"39",8192,256,512,4
"40",4096,4,4,16
"41",16384,128,4,4
"42",8192,256,128,8
"43",8192,256,256,16
"44",8192,256,16,4
"45",8192,128,8,8
"46",8192,128,256,2
"47",16384,16,512,16
"48",32768,4,4,16
"49",16384,64,4,16
"50",8192,512,8,32
"51",16384,64,16,2
"52",16384,32,128,8
"53",4096,4,256,32
"54",8192,128,32,8
"55",16384,16,256,4
"56",16384,512,512,64
"57",4096,16,256,16
"58",8192,8,4,64
"59",16384,128,256,16
"60",32768,8,64,4
"61",32768,512,16,4
"62",16384,512,4,4
"63",8192,4,512,8
"64",16384,8,32,8
"65",16384,32,32,32
"66",8192,32,4,8
"67",4096,512,128,16
"68",8192,8,256,4
"69",16384,128,64,4
"70",16384,64,16,8
"71",4096,128,8,64
"72",4096,512,8,8
"73",8192,8,16,32
"74",32768,256,128,32
"75",16384,16,1024,4
"76",8192,64,8,16
"77",32768,4,128,32
"78",8192,32,2,32
"79",16384,64,512,16
"80",8192,64,256,2
"81",32768,512,2,64
"82",16384,8,256,32
"83",8192,32,128,32
"84",4096,4,16,8
"85",16384,256,32,16
"86",16384,128,64,32
"87",16384,8,4,8
"88",16384,512,32,4
"89",4096,32,128,8
"90",8192,64,32,4
"91",8192,128,128,32
"92",8192,16,8,4
"93",8192,16,32,64
"94",16384,1024,64,32
"95",8192,256,16,8
"96",8192,512,512,16
"97",8192,16,64,32
"98",32768,512,512,16
"99",4096,512,16,4
"100",8192,16,4,16
"101",32768,512,128,8
"102",32768,128,256,8
"103",16384,8,4,64
"104",16384,8,1024,64
"105",4096,256,256,4
"106",16384,8,16,2
"107",8192,512,2,16
"108",32768,4,512,8
"109",8192,2,2,8
"110",4096,8,32,16
"111",8192,512,64,4
"112",8192,64,1024,8
"113",8192,32,512,32
"114",32768,2,32,8
"115",8192,128,32,64
"116",16384,256,512,4
"117",4096,4,32,2
"118",16384,8,256,2
"119",32768,8,16,16
"120",32768,16,128,16
"121",4096,2,8,64
"122",32768,16,16,4
"123",4096,64,8,8
"124",16384,256,8,32
"125",32768,128,16,8
"126",16384,16,1024,2
"127",16384,8,16,32
"128",16384,32,64,8
"129",16384,4,128,4
"130",8192,4,4,4
"131",8192,32,4,4
"132",32768,64,128,16
"133",16384,2,1024,8
"134",8192,512,32,32
"135",16384,128,8,2
"136",4096,256,512,64
"137",8192,8,32,2
"138",16384,32,128,64
"139",8192,64,512,16
"140",16384,512,16,4
"141",4096,512,2,4
"142",8192,512,64,16
"143",4096,16,8,32
"144",32768,1024,512,4
"145",16384,32,2,32
"146",32768,2,32,2
"147",4096,16,512,2
"148",16384,2,16,4
"149",8192,8,2,16
"150",4096,64,64,16
"151",16384,128,1024,32
"152",8192,1024,8,2
"153",8192,16,32,8
"154",8192,8,512,16
"155",32768,1024,8,16
"156",4096,128,64,64
"157",8192,64,256,4
"158",8192,1024,1024,8
"159",8192,4,64,64
"160",4096,1024,64,8
"161",8192,2,32,16
"162",32768,64,32,32
"163",32768,4,512,32
"164",32768,16,128,8
"165",16384,32,2,4
"166",8192,128,4,64
"167",4096,64,4,16
"168",8192,2,256,2
"169",16384,16,8,8
"170",16384,512,16,64
"171",16384,32,512,8
"172",16384,128,4,8
"173",4096,32,1024,16
"174",32768,128,64,4
"175",32768,1024,256,64
"176",16384,4,2,32
"177",16384,64,1024,2
"178",4096,64,64,2
"179",32768,32,256,64
"180",8192,1024,256,32
"181",16384,1024,128,2
"182",8192,1024,8,16
"183",4096,4,128,32
"184",4096,4,4,4
"185",8192,64,32,32
"186",16384,4,128,16
"187",16384,32,64,2
"188",4096,256,1024,2
"189",32768,512,4,4
"190",32768,128,2,32
"191",4096,512,256,16
"192",8192,16,1024,64
"193",32768,2,1024,2
"194",8192,128,4,4
"195",32768,4,16,64
"196",32768,2,4,4
"197",4096,1024,4,64
"198",4096,4,128,8
"199",8192,2,2,32
"200",16384,256,128,8
