"","image_size","row_block_size","col_block_size","processors"
"1",1024,128,64,4
"2",4096,64,64,8
"3",4096,32,8,8
"4",2048,8,8,8
"5",2048,16,16,4
"6",4096,16,32,4
"7",1024,16,128,8
"8",4096,128,32,2
"9",1024,32,128,4
"10",1024,8,4,8
"11",1024,8,16,4
"12",4096,32,64,4
"13",8192,16,32,4
"14",4096,16,64,4
"15",1024,8,8,4
"16",1024,16,32,8
"17",4096,16,8,8
"18",2048,8,32,4
"19",4096,8,4,2
"20",512,4,16,4
"21",4096,4,32,4
"22",1024,128,128,4
"23",1024,32,8,4
"24",4096,64,4,4
"25",4096,128,64,2
"26",1024,8,8,2
"27",2048,4,128,4
"28",1024,128,4,8
"29",2048,16,8,4
"30",2048,128,8,2
"31",1024,32,8,4
"32",2048,4,128,2
"33",4096,4,32,8
"34",512,32,8,8
"35",2048,64,32,2
"36",4096,64,16,4
"37",512,64,32,4
"38",4096,8,16,4
"39",2048,64,128,2
"40",512,2,4,4
"41",4096,64,4,2
"42",2048,64,64,4
"43",1024,64,128,4
"44",1024,64,8,2
"45",1024,64,4,4
"46",1024,64,64,2
"47",4096,8,128,4
"48",8192,4,4,4
"49",4096,32,4,4
"50",2048,128,8,4
"51",4096,32,8,2
"52",4096,16,64,4
"53",1024,4,128,4
"54",2048,32,16,4
"55",2048,16,64,4
"56",4096,128,128,8
"57",1024,16,64,4
"58",2048,4,4,8
"59",2048,32,64,4
"60",4096,4,32,2
"61",8192,128,8,2
"62",2048,128,2,2
"63",1024,2,128,4
"64",2048,8,16,4
"65",4096,16,16,8
"66",1024,16,4,4
"67",1024,128,32,4
"68",1024,8,64,2
"69",2048,64,32,4
"70",4096,32,8,4
"71",512,32,4,8
"72",512,128,4,4
"73",1024,8,8,4
"74",4096,64,64,8
"75",4096,8,256,2
"76",2048,32,4,4
"77",8192,4,64,8
"78",1024,16,2,8
"79",4096,32,256,4
"80",2048,32,128,2
"81",4096,256,2,8
"82",2048,4,64,8
"83",2048,16,64,8
"84",1024,4,8,4
"85",4096,128,16,4
"86",4096,64,32,8
"87",4096,4,4,4
"88",4096,256,16,2
"89",512,16,64,4
"90",1024,32,16,2
"91",1024,64,64,8
"92",1024,16,4,2
"93",1024,16,16,8
"94",2048,256,32,8
"95",1024,64,16,4
"96",2048,128,128,4
"97",1024,8,32,4
"98",8192,128,128,4
"99",512,256,8,2
"100",2048,8,4,4
"101",8192,128,32,4
"102",8192,64,128,4
"103",4096,8,4,8
"104",4096,8,256,8
"105",1024,128,128,4
"106",4096,4,8,2
"107",1024,128,2,4
"108",8192,2,128,4
"109",2048,2,2,4
"110",512,8,16,4
"111",1024,128,32,2
"112",2048,32,256,4
"113",1024,16,128,8
"114",8192,2,16,4
"115",2048,64,16,8
"116",2048,128,128,2
"117",512,4,16,2
"118",4096,8,64,2
"119",8192,4,8,4
"120",4096,8,32,4
"121",512,2,8,8
"122",8192,8,16,2
"123",512,32,4,4
"124",4096,64,8,4
"125",8192,64,8,4
"126",2048,8,256,2
"127",2048,4,8,4
"128",2048,16,32,4
"129",2048,4,64,4
"130",2048,4,4,2
"131",2048,16,4,4
"132",8192,32,64,4
"133",2048,2,256,4
"134",1024,128,16,8
"135",2048,32,8,2
"136",512,128,128,8
"137",1024,4,16,2
"138",4096,16,32,8
"139",1024,32,128,4
"140",2048,128,16,4
"141",512,128,2,2
"142",2048,128,32,4
"143",512,16,4,8
"144",8192,256,128,2
"145",4096,16,2,8
"146",8192,2,16,2
"147",512,8,128,2
"148",2048,2,8,4
"149",1024,8,2,4
"150",1024,32,32,4
"151",4096,64,256,8
"152",2048,256,8,2
"153",1024,8,16,4
"154",1024,4,128,4
"155",8192,256,4,4
"156",512,32,32,8
"157",1024,32,64,4
"158",1024,256,256,4
"159",2048,4,32,8
"160",512,256,32,4
"161",1024,2,16,4
"162",8192,32,16,8
"163",8192,4,256,8
"164",8192,8,64,4
"165",4096,16,2,2
"166",2048,64,4,8
"167",512,32,4,4
"168",2048,2,128,2
"169",4096,8,8,4
"170",4096,128,16,8
"171",4096,16,128,4
"172",2048,64,4,4
"173",512,16,256,4
"174",8192,64,32,2
"175",8192,256,64,8
"176",4096,4,2,4
"177",4096,32,256,2
"178",512,32,32,2
"179",8192,16,128,8
"180",2048,256,128,8
"181",2048,256,32,2
"182",1024,256,8,4
"183",512,4,64,8
"184",1024,4,4,2
"185",2048,32,16,4
"186",4096,4,64,4
"187",2048,16,32,2
"188",1024,64,256,2
"189",4096,128,2,2
"190",8192,64,2,8
"191",512,128,128,4
"192",2048,8,256,8
"193",4096,2,256,2
"194",1024,64,2,2
"195",8192,4,16,8
"196",8192,2,4,2
"197",512,256,4,8
"198",512,4,64,4
"199",1024,2,2,8
"200",4096,128,64,4
