h w p k r par_time seq_time
8192 32768 16 256 2 0.835683 1.604717
8192 32768 16 256 4 0.720657 1.601902
8192 32768 16 256 8 0.683899 1.602544
8192 32768 16 256 16 0.774790 1.601538
8192 32768 16 256 32 0.963672 1.601644
8192 32768 16 256 64 1.377123 1.601293
8192 32768 16 256 128 1.701418 1.602476
8192 32768 16 256 256 1.886388 1.602708
8192 32768 16 256 512 1.868163 1.600001
8192 32768 16 256 2 0.841602 1.601931
8192 32768 16 256 4 0.723315 1.625499
8192 32768 16 256 8 0.680268 1.602712
8192 32768 16 256 16 0.773255 1.602663
8192 32768 16 256 32 0.963515 1.602066
8192 32768 16 256 64 1.380570 1.601904
8192 32768 16 256 128 1.691952 1.572684
8192 32768 16 256 256 1.878891 1.600289
8192 32768 16 256 512 1.859984 1.600844
8192 32768 16 256 2 0.833580 1.600708
8192 32768 16 256 4 0.722103 1.625365
8192 32768 16 256 8 0.680535 1.601465
8192 32768 16 256 16 0.775084 1.603019
8192 32768 16 256 32 0.961314 1.603664
8192 32768 16 256 64 1.379521 1.601722
8192 32768 16 256 128 1.698648 1.601729
8192 32768 16 256 256 1.882508 1.600955
8192 32768 16 256 512 1.854042 1.602672
8192 32768 16 256 2 0.836864 1.625335
8192 32768 16 256 4 0.716664 1.600883
8192 32768 16 256 8 0.680710 1.600545
8192 32768 16 256 16 0.770135 1.606082
8192 32768 16 256 32 0.975607 1.625956
8192 32768 16 256 64 1.383161 1.604795
8192 32768 16 256 128 1.699732 1.604090
8192 32768 16 256 256 1.884534 1.604880
8192 32768 16 256 512 1.874482 1.603337
8192 32768 16 256 2 0.832837 1.599562
8192 32768 16 256 4 0.712545 1.599100
8192 32768 16 256 8 0.680453 1.601184
8192 32768 16 256 16 0.775172 1.600817
8192 32768 16 256 32 0.970437 1.600566
8192 32768 16 256 64 1.383240 1.601125
8192 32768 16 256 128 1.697140 1.600516
8192 32768 16 256 256 1.886771 1.601919
8192 32768 16 256 512 1.875444 1.602436
8192 32768 16 256 2 0.833205 1.601040
8192 32768 16 256 4 0.718856 1.601331
8192 32768 16 256 8 0.680485 1.601303
8192 32768 16 256 16 0.775855 1.601941
8192 32768 16 256 32 0.971001 1.600731
8192 32768 16 256 64 1.380376 1.601015
8192 32768 16 256 128 1.698412 1.600363
