# h w p block par seq
2319 2995 1 1497 0.175889 0.033397
2319 2995 2 748 0.094279 0.034300
2319 2995 3 499 0.066095 0.034195
2319 2995 4 374 0.068425 0.035118
2319 2995 5 299 0.082877 0.034565
2319 2995 6 249 0.089779 0.035046
2319 2995 7 213 0.082489 0.035089
2319 2995 8 187 0.078415 0.035064
2319 2995 1 1497 0.176342 0.034160
2319 2995 2 748 0.094647 0.033717
2319 2995 3 499 0.066155 0.034892
2319 2995 4 374 0.053338 0.035165
2319 2995 5 299 0.083855 0.035049
2319 2995 6 249 0.089820 0.035066
2319 2995 7 213 0.075856 0.035044
2319 2995 8 187 0.075834 0.035064
2319 2995 1 1497 0.175926 0.034119
2319 2995 2 748 0.094874 0.034450
2319 2995 3 499 0.065958 0.034629
2319 2995 4 374 0.053569 0.034671
2319 2995 5 299 0.082911 0.035048
2319 2995 6 249 0.090912 0.035086
2319 2995 7 213 0.085081 0.035014
2319 2995 8 187 0.069703 0.035082
2319 2995 1 1497 0.176114 0.034775
2319 2995 2 748 0.095155 0.034167
2319 2995 3 499 0.066795 0.034453
2319 2995 4 374 0.054598 0.035063
2319 2995 5 299 0.085287 0.035095
2319 2995 6 249 0.090052 0.035061
2319 2995 7 213 0.082618 0.035046
2319 2995 8 187 0.076283 0.035047
2319 2995 1 1497 0.175640 0.034278
2319 2995 2 748 0.094286 0.034400
2319 2995 3 499 0.066515 0.034336
2319 2995 4 374 0.053572 0.035169
2319 2995 5 299 0.091339 0.035047
2319 2995 6 249 0.090674 0.035045
2319 2995 7 213 0.067362 0.035060
2319 2995 8 187 0.105639 0.035047
2319 2995 1 1497 0.175374 0.034132
2319 2995 2 748 0.094370 0.034222
2319 2995 3 499 0.066762 0.034778
2319 2995 4 374 0.053578 0.035012
2319 2995 5 299 0.084155 0.035019
2319 2995 6 249 0.071627 0.035092
2319 2995 7 213 0.086885 0.035019
2319 2995 8 187 0.091465 0.035033
2319 2995 1 1497 0.177322 0.033941
2319 2995 2 748 0.094182 0.033634
2319 2995 3 499 0.066071 0.034658
2319 2995 4 374 0.053997 0.034795
2319 2995 5 299 0.083733 0.035073
2319 2995 6 249 0.086099 0.035014
2319 2995 7 213 0.080438 0.035062
2319 2995 8 187 0.089376 0.035062
2319 2995 1 1497 0.175568 0.034188
2319 2995 2 748 0.095330 0.034359
2319 2995 3 499 0.065861 0.033762
2319 2995 4 374 0.053374 0.034813
2319 2995 5 299 0.089779 0.035060
2319 2995 6 249 0.077880 0.035057
2319 2995 7 213 0.070327 0.035076
2319 2995 8 187 0.077891 0.035060
2319 2995 1 1497 0.176352 0.033486
2319 2995 2 748 0.094460 0.034322
2319 2995 3 499 0.066529 0.034378
2319 2995 4 374 0.053528 0.035033
2319 2995 5 299 0.082830 0.035016
2319 2995 6 249 0.108807 0.035061
2319 2995 7 213 0.081229 0.035044
2319 2995 8 187 0.061177 0.035065
2319 2995 1 1497 0.176007 0.034010
2319 2995 2 748 0.094670 0.034142
2319 2995 3 499 0.066167 0.034457
2319 2995 4 374 0.053462 0.035098
2319 2995 5 299 0.089697 0.035075
2319 2995 6 249 0.087579 0.035049
2319 2995 7 213 0.084258 0.035072
2319 2995 8 187 0.088592 0.035045
2319 2995 1 1497 0.175825 0.034228
2319 2995 2 748 0.094931 0.034420
2319 2995 3 499 0.066635 0.034783
2319 2995 4 374 0.053815 0.035051
2319 2995 5 299 0.083574 0.035079
2319 2995 6 249 0.092393 0.035062
2319 2995 7 213 0.090855 0.035053
2319 2995 8 187 0.089589 0.035009
2319 2995 1 1497 0.176166 0.033305
2319 2995 2 748 0.094152 0.033861
2319 2995 3 499 0.066616 0.034370
2319 2995 4 374 0.053565 0.035047
2319 2995 5 299 0.084224 0.035057
2319 2995 6 249 0.086776 0.035059
2319 2995 7 213 0.101131 0.035061
2319 2995 8 187 0.090110 0.035062
2319 2995 1 1497 0.175209 0.034024
2319 2995 2 748 0.095234 0.034254
2319 2995 3 499 0.066557 0.034866
2319 2995 4 374 0.055715 0.034967
2319 2995 5 299 0.087236 0.035073
2319 2995 6 249 0.091120 0.035079
2319 2995 7 213 0.085900 0.035237
2319 2995 8 187 0.061112 0.035047
2319 2995 1 1497 0.176091 0.033471
2319 2995 2 748 0.094383 0.034323
2319 2995 3 499 0.066741 0.034625
2319 2995 4 374 0.053212 0.035116
2319 2995 5 299 0.082814 0.034887
2319 2995 6 249 0.086234 0.035016
2319 2995 7 213 0.100106 0.035067
2319 2995 8 187 0.081999 0.035017
2319 2995 1 1497 0.176526 0.033403
2319 2995 2 748 0.094759 0.034687
2319 2995 3 499 0.066695 0.034297
2319 2995 4 374 0.053963 0.035044
2319 2995 5 299 0.084056 0.035057
2319 2995 6 249 0.092757 0.035046
2319 2995 7 213 0.232184 0.035081
2319 2995 8 187 0.149581 0.035229
2319 2995 1 1497 0.176690 0.033319
2319 2995 2 748 0.094215 0.033440
2319 2995 3 499 0.069764 0.034927
2319 2995 4 374 0.053744 0.034993
2319 2995 5 299 0.202587 0.035194
2319 2995 6 249 0.098070 0.035045
2319 2995 7 213 0.066832 0.035853
2319 2995 8 187 0.197967 0.035048
2319 2995 1 1497 0.182540 0.035482
2319 2995 2 748 0.099233 0.034259
2319 2995 3 499 0.067180 0.034672
2319 2995 4 374 0.077210 0.034780
2319 2995 5 299 0.083766 0.035043
2319 2995 6 249 0.090016 0.035046
2319 2995 7 213 0.081094 0.035042
2319 2995 8 187 0.076694 0.035009
2319 2995 1 1497 0.184410 0.033582
2319 2995 2 748 0.094620 0.033451
2319 2995 3 499 0.067428 0.034847
2319 2995 4 374 0.053881 0.035543
2319 2995 5 299 0.124284 0.035064
2319 2995 6 249 0.071549 0.035062
2319 2995 7 213 0.095116 0.035063
2319 2995 8 187 0.116742 0.035044
2319 2995 1 1497 0.181865 0.034525
2319 2995 2 748 0.099876 0.033711
2319 2995 3 499 0.069275 0.034248
2319 2995 4 374 0.053465 0.035126
2319 2995 5 299 0.126055 0.035047
2319 2995 6 249 0.081266 0.035283
2319 2995 7 213 0.078140 0.035130
2319 2995 8 187 0.129868 0.035113
2319 2995 1 1497 0.176152 0.033789
2319 2995 2 748 0.095595 0.035085
2319 2995 3 499 0.070477 0.034863
2319 2995 4 374 0.056152 0.035130
2319 2995 5 299 0.097985 0.035124
2319 2995 6 249 0.132938 0.037036
2319 2995 7 213 0.099998 0.035058
2319 2995 8 187 0.094200 0.035156
2319 2995 1 1497 0.176519 0.033368
2319 2995 2 748 0.099144 0.033765
2319 2995 3 499 0.066449 0.035007
2319 2995 4 374 0.054057 0.035219
2319 2995 5 299 0.086002 0.035090
2319 2995 6 249 0.104002 0.035029
2319 2995 7 213 0.108408 0.035044
2319 2995 8 187 0.124822 0.035110
2319 2995 1 1497 0.176007 0.033352
2319 2995 2 748 0.100023 0.034505
2319 2995 3 499 0.072395 0.034220
2319 2995 4 374 0.055259 0.034775
2319 2995 5 299 0.088684 0.035070
2319 2995 6 249 0.071497 0.035114
2319 2995 7 213 0.087387 0.035042
2319 2995 8 187 0.083764 0.035089
2319 2995 1 1497 0.181321 0.035358
2319 2995 2 748 0.093988 0.034159
2319 2995 3 499 0.066782 0.034333
2319 2995 4 374 0.054719 0.035072
2319 2995 5 299 0.200375 0.035026
2319 2995 6 249 0.075693 0.035257
2319 2995 7 213 0.128377 0.035019
2319 2995 8 187 0.130565 0.035160
2319 2995 1 1497 0.181446 0.034050
2319 2995 2 748 0.098729 0.037878
2319 2995 3 499 0.196809 0.035202
2319 2995 4 374 0.473246 0.034845
2319 2995 5 299 0.084315 0.035054
2319 2995 6 249 0.095925 0.035184
2319 2995 7 213 0.079692 0.035119
2319 2995 8 187 0.159328 0.035664
2319 2995 1 1497 0.177387 0.034124
2319 2995 2 748 0.095359 0.033651
2319 2995 3 499 0.066553 0.035108
2319 2995 4 374 0.054295 0.034886
2319 2995 5 299 0.084562 0.035092
2319 2995 6 249 0.087299 0.035045
2319 2995 7 213 0.084885 0.035076
2319 2995 8 187 0.115404 0.035047
2319 2995 1 1497 0.176685 0.033701
2319 2995 2 748 0.094054 0.034072
2319 2995 3 499 0.066313 0.034394
2319 2995 4 374 0.053898 0.035105
2319 2995 5 299 0.088079 0.035059
2319 2995 6 249 0.098501 0.035077
2319 2995 7 213 0.085523 0.035059
2319 2995 8 187 0.074524 0.035049
2319 2995 1 1497 0.177488 0.033207
2319 2995 2 748 0.094441 0.035021
2319 2995 3 499 0.067070 0.035056
2319 2995 4 374 0.118825 0.034681
2319 2995 5 299 0.086626 0.035079
2319 2995 6 249 0.115317 0.035062
2319 2995 7 213 0.108803 0.035062
2319 2995 8 187 0.089325 0.035120
2319 2995 1 1497 0.176723 0.033357
2319 2995 2 748 0.094054 0.033484
2319 2995 3 499 0.066807 0.034714
2319 2995 4 374 0.053072 0.035034
2319 2995 5 299 0.082937 0.035069
2319 2995 6 249 0.082505 0.035058
2319 2995 7 213 0.089482 0.035044
2319 2995 8 187 0.079933 0.035085
2319 2995 1 1497 0.176103 0.034178
2319 2995 2 748 0.094222 0.034180
2319 2995 3 499 0.066425 0.034160
2319 2995 4 374 0.054011 0.034831
2319 2995 5 299 0.082953 0.035045
2319 2995 6 249 0.089455 0.035045
2319 2995 7 213 0.082988 0.035046
2319 2995 8 187 0.089000 0.035050
2319 2995 1 1497 0.176169 0.033866
2319 2995 2 748 0.093899 0.034191
2319 2995 3 499 0.067041 0.034393
2319 2995 4 374 0.053395 0.035054
2319 2995 5 299 0.082865 0.035033
2319 2995 6 249 0.071291 0.035047
2319 2995 7 213 0.079545 0.035041
2319 2995 8 187 0.077750 0.035062
2319 2995 1 1497 0.175177 0.033265
2319 2995 2 748 0.094764 0.034328
2319 2995 3 499 0.065922 0.034499
2319 2995 4 374 0.053527 0.035175
2319 2995 5 299 0.083066 0.035051
2319 2995 6 249 0.071179 0.035076
2319 2995 7 213 0.095145 0.035097
2319 2995 8 187 0.098153 0.035044
2319 2995 1 1497 0.175590 0.033268
2319 2995 2 748 0.094023 0.034221
2319 2995 3 499 0.066551 0.034958
2319 2995 4 374 0.053647 0.035022
2319 2995 5 299 0.083348 0.035047
2319 2995 6 249 0.087616 0.035049
2319 2995 7 213 0.073587 0.035081
2319 2995 8 187 0.081196 0.035046
2319 2995 1 1497 0.176879 0.034025
2319 2995 2 748 0.095044 0.034305
2319 2995 3 499 0.066829 0.034621
2319 2995 4 374 0.054336 0.035012
2319 2995 5 299 0.082899 0.035062
2319 2995 6 249 0.091275 0.035043
2319 2995 7 213 0.074877 0.035047
2319 2995 8 187 0.075119 0.035062
2319 2995 1 1497 0.176686 0.033256
2319 2995 2 748 0.094379 0.034526
2319 2995 3 499 0.066319 0.034306
2319 2995 4 374 0.053141 0.035115
2319 2995 5 299 0.082912 0.035044
2319 2995 6 249 0.071086 0.035060
2319 2995 7 213 0.082840 0.035048
2319 2995 8 187 0.093730 0.035055
2319 2995 1 1497 0.175968 0.033858
2319 2995 2 748 0.094260 0.034682
2319 2995 3 499 0.066421 0.034527
2319 2995 4 374 0.053052 0.035028
2319 2995 5 299 0.084879 0.035063
2319 2995 6 249 0.092794 0.035014
2319 2995 7 213 0.086614 0.035046
2319 2995 8 187 0.069954 0.035079
2319 2995 1 1497 0.175189 0.034143
2319 2995 2 748 0.094309 0.034061
2319 2995 3 499 0.066495 0.035050
2319 2995 4 374 0.057270 0.034874
2319 2995 5 299 0.092164 0.035081
2319 2995 6 249 0.071228 0.035031
2319 2995 7 213 0.089118 0.035058
2319 2995 8 187 0.186893 0.035044
2319 2995 1 1497 0.176401 0.034173
2319 2995 2 748 0.094512 0.034365
2319 2995 3 499 0.065852 0.035142
2319 2995 4 374 0.054856 0.035051
2319 2995 5 299 0.083109 0.035051
2319 2995 6 249 0.075879 0.035046
2319 2995 7 213 0.080770 0.035045
2319 2995 8 187 0.076583 0.035049
2319 2995 1 1497 0.177419 0.033919
2319 2995 2 748 0.094787 0.034193
2319 2995 3 499 0.066444 0.034309
2319 2995 4 374 0.053618 0.035069
2319 2995 5 299 0.084015 0.035104
2319 2995 6 249 0.075064 0.035047
2319 2995 7 213 0.075535 0.035047
2319 2995 8 187 0.089813 0.035047
2319 2995 1 1497 0.174948 0.033719
2319 2995 2 748 0.094418 0.034471
2319 2995 3 499 0.065976 0.034454
2319 2995 4 374 0.053551 0.035212
2319 2995 5 299 0.084486 0.035053
2319 2995 6 249 0.107038 0.035046
2319 2995 7 213 0.080869 0.035043
2319 2995 8 187 0.090863 0.035018
2319 2995 1 1497 0.175389 0.033976
2319 2995 2 748 0.094348 0.034886
2319 2995 3 499 0.066437 0.033796
2319 2995 4 374 0.053654 0.035047
2319 2995 5 299 0.083021 0.035047
2319 2995 6 249 0.071232 0.035059
2319 2995 7 213 0.080290 0.035044
2319 2995 8 187 0.074689 0.035014
2319 2995 1 1497 0.177346 0.033180
2319 2995 2 748 0.096134 0.033463
2319 2995 3 499 0.066529 0.034363
2319 2995 4 374 0.054321 0.035034
2319 2995 5 299 0.083244 0.035015
2319 2995 6 249 0.088148 0.035049
2319 2995 7 213 0.083493 0.035044
2319 2995 8 187 0.068142 0.035031
2319 2995 1 1497 0.175972 0.033306
2319 2995 2 748 0.093868 0.034138
2319 2995 3 499 0.065961 0.034517
2319 2995 4 374 0.053083 0.035091
2319 2995 5 299 0.083572 0.035094
2319 2995 6 249 0.097013 0.035079
2319 2995 7 213 0.078800 0.035046
2319 2995 8 187 0.082755 0.035046
2319 2995 1 1497 0.175068 0.034181
2319 2995 2 748 0.094478 0.034207
2319 2995 3 499 0.066448 0.034378
2319 2995 4 374 0.053024 0.034427
2319 2995 5 299 0.088534 0.035046
2319 2995 6 249 0.091305 0.035052
2319 2995 7 213 0.097989 0.035011
2319 2995 8 187 0.097099 0.035017
2319 2995 1 1497 0.175811 0.034332
2319 2995 2 748 0.094750 0.034199
2319 2995 3 499 0.066877 0.034275
2319 2995 4 374 0.053857 0.035070
2319 2995 5 299 0.087999 0.035089
2319 2995 6 249 0.082519 0.035015
2319 2995 7 213 0.092726 0.035067
2319 2995 8 187 0.089554 0.035008
2319 2995 1 1497 0.175437 0.033208
2319 2995 2 748 0.094693 0.034663
2319 2995 3 499 0.065967 0.034107
2319 2995 4 374 0.053577 0.035074
2319 2995 5 299 0.083585 0.035048
2319 2995 6 249 0.087483 0.035046
2319 2995 7 213 0.078267 0.035068
2319 2995 8 187 0.076707 0.035018
2319 2995 1 1497 0.176249 0.033324
2319 2995 2 748 0.094153 0.034371
2319 2995 3 499 0.066476 0.034358
2319 2995 4 374 0.052747 0.035056
2319 2995 5 299 0.083203 0.035050
2319 2995 6 249 0.084880 0.035045
2319 2995 7 213 0.087861 0.035061
2319 2995 8 187 0.077542 0.035010
2319 2995 1 1497 0.174790 0.033430
2319 2995 2 748 0.094924 0.033844
2319 2995 3 499 0.065967 0.034793
2319 2995 4 374 0.053044 0.035054
2319 2995 5 299 0.086680 0.035044
2319 2995 6 249 0.071003 0.035087
2319 2995 7 213 0.081621 0.035015
2319 2995 8 187 0.121785 0.035047
2319 2995 1 1497 0.176166 0.034300
2319 2995 2 748 0.094283 0.034522
2319 2995 3 499 0.066936 0.035069
2319 2995 4 374 0.052844 0.034614
2319 2995 5 299 0.083737 0.035059
2319 2995 6 249 0.070761 0.035047
2319 2995 7 213 0.068023 0.035029
