h w p k r par_time seq_time
131072 131072 2 128 512 71.612045 97.459381
131072 131072 2 128 512 71.781316 97.517289
131072 131072 2 128 512 72.248155 97.626284
131072 131072 4 64 512 47.776678 97.381571
131072 131072 16 16 512 40.540943 109.083935
131072 131072 2 128 512 71.714423 97.658353
131072 131072 4 64 512 47.761637 97.261514
131072 131072 16 16 512 39.761463 109.044715
131072 131072 64 4 512 32.076734 128.208181
131072 131072 128 2 512 32.654195 129.072378
131072 131072 2 128 512 71.804285 97.667859
131072 131072 4 64 512 47.505745 99.213511
131072 131072 2 128 512 72.777112 97.627916
131072 131072 4 64 512 47.765834 97.124130
131072 131072 16 16 512 42.891181 102.738339
131072 131072 64 4 512 36.563404 128.219573
131072 131072 128 2 512 34.023493 128.273579
131072 131072 2 128 512 72.779997 97.510228
131072 131072 4 64 512 47.787020 97.132457
131072 131072 16 16 512 43.192815 102.858877
131072 131072 64 4 512 36.820249 128.300862
131072 131072 128 2 512 34.347176 128.302981
131072 131072 2 128 512 72.892939 97.411014
131072 131072 4 64 512 47.772379 97.128705
131072 131072 16 16 512 42.990375 102.750223
131072 131072 64 4 512 36.596592 128.329800
131072 131072 128 2 512 33.973099 128.308006
131072 131072 2 128 512 72.934523 97.333488
131072 131072 4 64 512 47.757612 97.123358
131072 131072 2 128 512 71.838699 97.352200
131072 131072 4 64 512 47.459728 97.336842
131072 131072 16 16 512 40.802468 106.072309
131072 131072 64 4 512 35.441044 129.530069
131072 131072 128 2 512 33.722749 128.622664
131072 131072 2 128 512 71.891816 97.561325
131072 131072 4 64 512 47.365993 97.338836
131072 131072 16 16 512 40.009795 106.257718
131072 131072 64 4 512 34.722775 129.671449
131072 131072 128 2 512 33.508601 128.633357
131072 131072 2 128 512 71.767730 97.574645
131072 131072 4 64 512 47.839364 99.244485
131072 131072 16 16 512 40.746489 105.965048
131072 131072 64 4 512 34.777396 129.464545
131072 131072 2 128 512 71.594322 97.355419
131072 131072 4 64 512 47.586666 99.300938
131072 131072 2 128 512 72.032156 97.420851
131072 131072 4 64 512 47.804834 97.517657
131072 131072 2 128 512 71.915744 97.414615
131072 131072 2 128 512 71.725256 97.393977
131072 131072 2 128 512 71.885801 97.601260
131072 131072 2 128 512 71.923405 97.613178
131072 131072 4 64 512 47.901086 97.362441
131072 131072 2 128 512 71.781430 97.607700
131072 131072 2 128 512 71.664519 97.549806
131072 131072 4 64 512 48.055712 99.219836
131072 131072 16 16 512 40.760565 109.045452
131072 131072 2 128 512 71.594024 97.519674
131072 131072 4 64 512 47.716408 97.468647
