h w p k r par_time seq_time
8192 8192 16 128 2 0.203257 0.416614
8192 8192 16 128 4 0.176947 0.415567
8192 8192 16 64 8 0.155369 0.416000
8192 8192 16 32 16 0.146351 0.419202
8192 8192 16 16 32 0.139710 0.417713
8192 8192 16 8 64 0.132602 0.417539
8192 8192 16 4 128 0.135190 0.428770
8192 8192 16 2 256 0.136385 0.415124
8192 8192 16 1 512 0.136053 0.415751
8192 8192 16 4 128 0.133776 0.415793
8192 8192 16 128 2 0.197576 0.428927
8192 8192 16 128 4 0.176856 0.415587
8192 8192 16 64 8 0.154851 0.416432
8192 8192 16 32 16 0.146763 0.428784
8192 8192 16 16 32 0.140044 0.415586
8192 8192 16 8 64 0.131439 0.416524
8192 8192 16 4 128 0.131725 0.415450
8192 8192 16 2 256 0.134775 0.415847
8192 8192 16 1 512 0.138321 0.428791
8192 8192 16 4 128 0.135724 0.431483
8192 8192 16 128 2 0.199734 0.428760
8192 8192 16 128 4 0.177241 0.416001
8192 8192 16 64 8 0.155413 0.416839
8192 8192 16 32 16 0.146224 0.416278
8192 8192 16 16 32 0.139884 0.428657
8192 8192 16 8 64 0.133162 0.428834
8192 8192 16 4 128 0.132266 0.415363
8192 8192 16 2 256 0.132554 0.419079
8192 8192 16 1 512 0.135478 0.416357
8192 8192 16 4 128 0.133622 0.429178
8192 8192 16 128 2 0.197778 0.428872
8192 8192 16 128 4 0.176478 0.428668
8192 8192 16 64 8 0.157608 0.428932
8192 8192 16 32 16 0.147809 0.428421
8192 8192 16 16 32 0.140951 0.417292
8192 8192 16 8 64 0.129696 0.415750
8192 8192 16 4 128 0.130034 0.418121
8192 8192 16 2 256 0.136448 0.421690
8192 8192 16 1 512 0.139673 0.415804
8192 8192 16 4 128 0.132218 0.428542
8192 8192 16 128 2 0.193587 0.418062
8192 8192 16 128 4 0.173420 0.416599
8192 8192 16 64 8 0.157267 0.428770
8192 8192 16 32 16 0.146698 0.415900
8192 8192 16 16 32 0.140376 0.428736
8192 8192 16 8 64 0.129897 0.416455
8192 8192 16 4 128 0.134373 0.417813
8192 8192 16 2 256 0.135146 0.416451
8192 8192 16 1 512 0.135042 0.416067
8192 8192 16 4 128 0.131097 0.415899
8192 8192 16 128 2 0.195232 0.415928
8192 8192 16 128 4 0.176791 0.421138
8192 8192 16 64 8 0.153109 0.420282
8192 8192 16 32 16 0.146212 0.428558
8192 8192 16 16 32 0.141630 0.419173
8192 8192 16 8 64 0.134513 0.421138
